NO|SIDO_NAME|SIGUNGU_NAME|DONG_NAME
1|강원도|강릉시|강동면
2|강원도|강릉시|강문동
3|강원도|강릉시|견소동
4|강원도|강릉시|교동
5|강원도|강릉시|구정면
6|강원도|강릉시|금학동
7|강원도|강릉시|난곡동
8|강원도|강릉시|남문동
9|강원도|강릉시|남항진동
10|강원도|강릉시|내곡동
11|강원도|강릉시|노암동
12|강원도|강릉시|담산동
13|강원도|강릉시|대전동
14|강원도|강릉시|두산동
15|강원도|강릉시|명주동
16|강원도|강릉시|박월동
17|강원도|강릉시|병산동
18|강원도|강릉시|사천면
19|강원도|강릉시|성남동
20|강원도|강릉시|성내동
21|강원도|강릉시|성산면
22|강원도|강릉시|송정동
23|강원도|강릉시|신석동
24|강원도|강릉시|안현동
25|강원도|강릉시|연곡면
26|강원도|강릉시|옥계면
27|강원도|강릉시|옥천동
28|강원도|강릉시|왕산면
29|강원도|강릉시|용강동
30|강원도|강릉시|운산동
31|강원도|강릉시|운정동
32|강원도|강릉시|월호평동
33|강원도|강릉시|유산동
34|강원도|강릉시|유천동
35|강원도|강릉시|임당동
36|강원도|강릉시|입암동
37|강원도|강릉시|장현동
38|강원도|강릉시|저동
39|강원도|강릉시|주문진읍
40|강원도|강릉시|죽헌동
41|강원도|강릉시|지변동
42|강원도|강릉시|청량동
43|강원도|강릉시|초당동
44|강원도|강릉시|포남동
45|강원도|강릉시|학동
46|강원도|강릉시|홍제동
47|강원도|강릉시|회산동
48|강원도|강릉시|
49|강원도|고성군|간성읍
50|강원도|고성군|거진읍
51|강원도|고성군|수동면
52|강원도|고성군|죽왕면
53|강원도|고성군|토성면
54|강원도|고성군|현내면
55|강원도|고성군|
56|강원도|동해시|괴란동
57|강원도|동해시|구미동
58|강원도|동해시|구호동
59|강원도|동해시|귀운동
60|강원도|동해시|나안동
61|강원도|동해시|내동
62|강원도|동해시|단봉동
63|강원도|동해시|달방동
64|강원도|동해시|대구동
65|강원도|동해시|대진동
66|강원도|동해시|동회동
67|강원도|동해시|만우동
68|강원도|동해시|망상동
69|강원도|동해시|묵호진동
70|강원도|동해시|발한동
71|강원도|동해시|부곡동
72|강원도|동해시|북평동
73|강원도|동해시|비천동
74|강원도|동해시|삼화동
75|강원도|동해시|송정동
76|강원도|동해시|쇄운동
77|강원도|동해시|신흥동
78|강원도|동해시|심곡동
79|강원도|동해시|어달동
80|강원도|동해시|용정동
81|강원도|동해시|이기동
82|강원도|동해시|이도동
83|강원도|동해시|이로동
84|강원도|동해시|지가동
85|강원도|동해시|지흥동
86|강원도|동해시|천곡동
87|강원도|동해시|초구동
88|강원도|동해시|추암동
89|강원도|동해시|평릉동
90|강원도|동해시|호현동
91|강원도|동해시|효가동
92|강원도|동해시|
93|강원도|삼척시|가곡면
94|강원도|삼척시|갈천동
95|강원도|삼척시|건지동
96|강원도|삼척시|교동
97|강원도|삼척시|근덕면
98|강원도|삼척시|근산동
99|강원도|삼척시|남양동
100|강원도|삼척시|노곡면
101|강원도|삼척시|당저동
102|강원도|삼척시|도경동
103|강원도|삼척시|도계읍
104|강원도|삼척시|등봉동
105|강원도|삼척시|마달동
106|강원도|삼척시|마평동
107|강원도|삼척시|미로면
108|강원도|삼척시|사직동
109|강원도|삼척시|성남동
110|강원도|삼척시|성내동
111|강원도|삼척시|성북동
112|강원도|삼척시|신기면
113|강원도|삼척시|오분동
114|강원도|삼척시|오사동
115|강원도|삼척시|우지동
116|강원도|삼척시|원당동
